时间,推料器自动指令
2021-12-22 00:02:08,60.0
2021-12-22 00:02:09,60.0
2021-12-22 00:02:10,60.0
2021-12-22 00:02:11,60.0
2021-12-22 00:02:12,60.0
2021-12-22 00:02:13,60.0
2021-12-22 00:02:14,60.0
2021-12-22 00:02:15,60.0
2021-12-22 00:02:16,60.0
2021-12-22 00:02:17,60.0
2021-12-22 00:02:18,60.0
2021-12-22 00:02:19,60.0
2021-12-22 00:02:20,60.0
2021-12-22 00:02:21,60.0
2021-12-22 00:02:22,60.0
2021-12-22 00:02:23,60.0
2021-12-22 00:02:24,60.0
2021-12-22 00:02:25,60.0
2021-12-22 00:02:26,60.0
2021-12-22 00:02:27,60.0
2021-12-22 00:02:28,60.0
2021-12-22 00:02:29,60.0
2021-12-22 00:02:30,60.0
2021-12-22 00:02:31,60.0
2021-12-22 00:02:32,60.0
2021-12-22 00:02:33,60.0
2021-12-22 00:02:34,60.0
2021-12-22 00:02:35,60.0
2021-12-22 00:02:36,60.0
2021-12-22 00:02:37,60.0
2021-12-22 00:02:38,60.0
2021-12-22 00:02:39,60.0
2021-12-22 00:02:40,60.0
2021-12-22 00:02:41,60.0
2021-12-22 00:02:42,60.0
2021-12-22 00:02:43,60.0
2021-12-22 00:02:44,60.0
2021-12-22 00:02:45,60.0
2021-12-22 00:02:46,60.0
2021-12-22 00:02:47,60.0
2021-12-22 00:02:48,60.0
2021-12-22 00:02:49,60.0
2021-12-22 00:02:50,60.0
2021-12-22 00:02:51,60.0
2021-12-22 00:02:52,60.0
2021-12-22 00:02:53,60.0
2021-12-22 00:02:54,60.0
2021-12-22 00:02:55,60.0079
2021-12-22 00:02:56,59.8133
2021-12-22 00:02:57,59.8771
2021-12-22 00:02:58,59.9345
2021-12-22 00:02:59,59.9983
2021-12-22 00:03:00,60.0684
2021-12-22 00:03:01,60.1386
2021-12-22 00:03:02,60.3036
2021-12-22 00:03:03,60.3804
2021-12-22 00:03:04,60.4501
2021-12-22 00:03:05,60.5199
2021-12-22 00:03:06,60.5897
2021-12-22 00:03:07,60.6594
2021-12-22 00:03:08,60.5963
2021-12-22 00:03:09,60.6461
2021-12-22 00:03:10,60.7145
2021-12-22 00:03:11,60.7705
2021-12-22 00:03:12,60.8327
2021-12-22 00:03:13,60.9012
2021-12-22 00:03:14,61.1123
2021-12-22 00:03:15,61.1753
2021-12-22 00:03:16,61.2524
2021-12-22 00:03:17,61.3225
2021-12-22 00:03:18,61.3786
2021-12-22 00:03:19,61.4486
2021-12-22 00:03:20,61.9618
2021-12-22 00:03:21,62.037
2021-12-22 00:03:22,62.1405
2021-12-22 00:03:23,62.2439
2021-12-22 00:03:24,62.3379
2021-12-22 00:03:25,62.4226
2021-12-22 00:03:26,62.4362
2021-12-22 00:03:27,62.5162
2021-12-22 00:03:28,62.5962
2021-12-22 00:03:29,62.7029
2021-12-22 00:03:30,62.774
2021-12-22 00:03:31,62.8806
2021-12-22 00:03:32,63.0187
2021-12-22 00:03:33,63.12
2021-12-22 00:03:34,63.2029
2021-12-22 00:03:35,63.2949
2021-12-22 00:03:36,63.3778
2021-12-22 00:03:37,63.4883
2021-12-22 00:03:38,63.3288
2021-12-22 00:03:39,63.4233
2021-12-22 00:03:40,63.4941
2021-12-22 00:03:41,63.5807
2021-12-22 00:03:42,63.6595
2021-12-22 00:03:43,63.7303
2021-12-22 00:03:44,63.6337
2021-12-22 00:03:45,63.7098
2021-12-22 00:03:46,63.7789
2021-12-22 00:03:47,63.848
2021-12-22 00:03:48,63.9171
2021-12-22 00:03:49,63.9793
2021-12-22 00:03:50,64.055
2021-12-22 00:03:51,64.1168
2021-12-22 00:03:52,64.1786
2021-12-22 00:03:53,64.2473
2021-12-22 00:03:54,64.3228
2021-12-22 00:03:55,64.3846
2021-12-22 00:03:56,64.519
2021-12-22 00:03:57,64.5913
2021-12-22 00:03:58,64.6635
2021-12-22 00:03:59,64.7358
2021-12-22 00:04:00,64.8153
2021-12-22 00:04:01,64.8803
2021-12-22 00:04:02,64.9412
2021-12-22 00:04:03,65.0119
2021-12-22 00:04:04,65.0826
2021-12-22 00:04:05,65.1534
2021-12-22 00:04:06,65.217
2021-12-22 00:04:07,65.2878
2021-12-22 00:04:08,65.3549
2021-12-22 00:04:09,65.4109
2021-12-22 00:04:10,65.481
2021-12-22 00:04:11,65.558
2021-12-22 00:04:12,65.6351
2021-12-22 00:04:13,65.7051
2021-12-22 00:04:14,65.7734
2021-12-22 00:04:15,65.8433
2021-12-22 00:04:16,65.9132
2021-12-22 00:04:17,65.9831
2021-12-22 00:04:18,66.039
2021-12-22 00:04:19,66.1159
2021-12-22 00:04:20,66.1392
2021-12-22 00:04:21,66.2067
2021-12-22 00:04:22,66.2742
2021-12-22 00:04:23,66.3553
2021-12-22 00:04:24,66.4093
2021-12-22 00:04:25,66.4903
2021-12-22 00:04:26,66.5186
2021-12-22 00:04:27,66.5838
2021-12-22 00:04:28,66.6491
2021-12-22 00:04:29,66.7078
2021-12-22 00:04:30,66.7795
2021-12-22 00:04:31,66.8448
2021-12-22 00:04:32,66.8693
2021-12-22 00:04:33,66.9393
2021-12-22 00:04:34,66.9966
2021-12-22 00:04:35,67.073
2021-12-22 00:04:36,67.1302
2021-12-22 00:04:37,67.2002
2021-12-22 00:04:38,67.2318
2021-12-22 00:04:39,67.3005
2021-12-22 00:04:40,67.3693
2021-12-22 00:04:41,67.4255
2021-12-22 00:04:42,67.4818
2021-12-22 00:04:43,67.5505
2021-12-22 00:04:44,67.541
2021-12-22 00:04:45,67.6051
2021-12-22 00:04:46,67.6518
2021-12-22 00:04:47,67.7159
2021-12-22 00:04:48,67.7683
2021-12-22 00:04:49,67.8325
2021-12-22 00:04:50,67.9355
2021-12-22 00:04:51,68.0028
2021-12-22 00:04:52,68.07
2021-12-22 00:04:53,68.125
2021-12-22 00:04:54,68.18
2021-12-22 00:04:55,68.2411
2021-12-22 00:04:56,68.4928
2021-12-22 00:04:57,68.5642
2021-12-22 00:04:58,68.6356
2021-12-22 00:04:59,68.707
2021-12-22 00:05:00,68.7784
2021-12-22 00:05:01,68.8427
2021-12-22 00:05:02,69.0494
2021-12-22 00:05:03,69.1284
2021-12-22 00:05:04,69.2232
2021-12-22 00:05:05,69.2942
2021-12-22 00:05:06,69.3732
2021-12-22 00:05:07,69.4443
2021-12-22 00:05:08,69.3929
2021-12-22 00:05:09,69.4644
2021-12-22 00:05:10,69.5431
2021-12-22 00:05:11,69.6217
2021-12-22 00:05:12,69.6932
2021-12-22 00:05:13,69.7504
2021-12-22 00:05:14,69.8987
2021-12-22 00:05:15,69.974
2021-12-22 00:05:16,70.0493
2021-12-22 00:05:17,70.1171
2021-12-22 00:05:18,70.1999
2021-12-22 00:05:19,70.2677
2021-12-22 00:05:20,70.3366
2021-12-22 00:05:21,70.4115
2021-12-22 00:05:22,70.4938
2021-12-22 00:05:23,70.5611
2021-12-22 00:05:24,70.651
2021-12-22 00:05:25,70.7258
2021-12-22 00:05:26,70.7903
2021-12-22 00:05:27,70.8571
2021-12-22 00:05:28,70.9312
2021-12-22 00:05:29,70.998
2021-12-22 00:05:30,71.0796
2021-12-22 00:05:31,71.1537
2021-12-22 00:05:32,71.557
2021-12-22 00:05:33,71.6403
2021-12-22 00:05:34,71.7422
2021-12-22 00:05:35,71.8256
2021-12-22 00:05:36,71.9182
2021-12-22 00:05:37,72.0108
2021-12-22 00:05:38,72.1203
2021-12-22 00:05:39,72.2137
2021-12-22 00:05:40,72.3072
2021-12-22 00:05:41,72.41
2021-12-22 00:05:42,72.5128
2021-12-22 00:05:43,72.5876
2021-12-22 00:05:44,72.5397
2021-12-22 00:05:45,72.6072
2021-12-22 00:05:46,72.6916
2021-12-22 00:05:47,72.7844
2021-12-22 00:05:48,72.8773
2021-12-22 00:05:49,72.9448
2021-12-22 00:05:50,72.933
2021-12-22 00:05:51,73.0036
2021-12-22 00:05:52,73.082
2021-12-22 00:05:53,73.1605
2021-12-22 00:05:54,73.2467
2021-12-22 00:05:55,73.3173
2021-12-22 00:05:56,73.3356
2021-12-22 00:05:57,73.4179
2021-12-22 00:05:58,73.4853
2021-12-22 00:05:59,73.5751
2021-12-22 00:06:00,73.635
2021-12-22 00:06:01,73.7098
2021-12-22 00:06:02,73.7584
2021-12-22 00:06:03,73.8239
2021-12-22 00:06:04,73.9041
2021-12-22 00:06:05,73.9842
2021-12-22 00:06:06,74.0425
2021-12-22 00:06:07,74.1227
2021-12-22 00:06:08,74.1563
2021-12-22 00:06:09,74.2273
2021-12-22 00:06:10,74.2982
2021-12-22 00:06:11,74.3763
2021-12-22 00:06:12,74.4401
2021-12-22 00:06:13,74.5111
2021-12-22 00:06:14,74.5908
2021-12-22 00:06:15,74.6547
2021-12-22 00:06:16,74.7256
2021-12-22 00:06:17,74.8108
2021-12-22 00:06:18,74.8746
2021-12-22 00:06:19,74.9456
2021-12-22 00:06:20,74.9367
2021-12-22 00:06:21,74.9895
2021-12-22 00:06:22,75.0555
2021-12-22 00:06:23,75.1215
2021-12-22 00:06:24,75.1941
2021-12-22 00:06:25,75.2601
2021-12-22 00:06:26,75.7071
2021-12-22 00:06:27,75.7944
2021-12-22 00:06:28,75.8729
2021-12-22 00:06:29,75.9777
2021-12-22 00:06:30,76.0475
2021-12-22 00:06:31,76.1522
2021-12-22 00:06:32,76.2432
2021-12-22 00:06:33,76.3223
2021-12-22 00:06:34,76.419
2021-12-22 00:06:35,76.5069
2021-12-22 00:06:36,76.586
2021-12-22 00:06:37,76.6827
2021-12-22 00:06:38,76.8611
2021-12-22 00:06:39,76.9639
2021-12-22 00:06:40,77.0667
2021-12-22 00:06:41,77.1508
2021-12-22 00:06:42,77.2536
2021-12-22 00:06:43,77.3284
2021-12-22 00:06:44,77.5431
2021-12-22 00:06:45,77.6328
2021-12-22 00:06:46,77.7424
2021-12-22 00:06:47,77.852
2021-12-22 00:06:48,77.9416
2021-12-22 00:06:49,78.0313
2021-12-22 00:06:50,77.7754
2021-12-22 00:06:51,77.8626
2021-12-22 00:06:52,77.942
2021-12-22 00:06:53,78.0213
2021-12-22 00:06:54,78.0927
2021-12-22 00:06:55,78.188
2021-12-22 00:06:56,78.4676
2021-12-22 00:06:57,78.5591
2021-12-22 00:06:58,78.6688
2021-12-22 00:06:59,78.7603
2021-12-22 00:07:00,78.8426
2021-12-22 00:07:01,78.925
2021-12-22 00:07:02,79.0183
2021-12-22 00:07:03,79.1098
2021-12-22 00:07:04,79.2104
2021-12-22 00:07:05,79.3019
2021-12-22 00:07:06,79.3934
2021-12-22 00:07:07,79.4848
2021-12-22 00:07:08,79.6261
2021-12-22 00:07:09,79.7224
2021-12-22 00:07:10,79.8188
2021-12-22 00:07:11,79.9151
2021-12-22 00:07:12,80.0
2021-12-22 00:07:13,80.0
2021-12-22 00:07:14,79.744
2021-12-22 00:07:15,79.8211
2021-12-22 00:07:16,79.9238
2021-12-22 00:07:17,79.9923
2021-12-22 00:07:18,80.0
2021-12-22 00:07:19,80.0
2021-12-22 00:07:20,79.6082
2021-12-22 00:07:21,79.6956
2021-12-22 00:07:22,79.7829
2021-12-22 00:07:23,79.8703
2021-12-22 00:07:24,79.9664
2021-12-22 00:07:25,80.0
2021-12-22 00:07:26,79.7138
2021-12-22 00:07:27,79.8312
2021-12-22 00:07:28,79.9095
2021-12-22 00:07:29,80.0
2021-12-22 00:07:30,80.0
2021-12-22 00:07:31,80.0
2021-12-22 00:07:32,79.5506
2021-12-22 00:07:33,79.6354
2021-12-22 00:07:34,79.7372
2021-12-22 00:07:35,79.8136
2021-12-22 00:07:36,79.8984
2021-12-22 00:07:37,79.9748
2021-12-22 00:07:38,79.9655
2021-12-22 00:07:39,80.0
2021-12-22 00:07:40,80.0
2021-12-22 00:07:41,80.0
2021-12-22 00:07:42,80.0
2021-12-22 00:07:43,80.0
2021-12-22 00:07:44,79.6269
2021-12-22 00:07:45,79.7275
2021-12-22 00:07:46,79.8393
2021-12-22 00:07:47,79.9622
2021-12-22 00:07:48,80.0
2021-12-22 00:07:49,80.0
2021-12-22 00:07:50,79.5249
2021-12-22 00:07:51,79.6398
2021-12-22 00:07:52,79.7339
2021-12-22 00:07:53,79.8489
2021-12-22 00:07:54,79.9639
2021-12-22 00:07:55,80.0
2021-12-22 00:07:56,79.7875
2021-12-22 00:07:57,79.9182
2021-12-22 00:07:58,80.0
2021-12-22 00:07:59,80.0
2021-12-22 00:08:00,80.0
2021-12-22 00:08:01,80.0
2021-12-22 00:08:02,79.7342
2021-12-22 00:08:03,79.842
2021-12-22 00:08:04,79.9497
2021-12-22 00:08:05,80.0
2021-12-22 00:08:06,80.0
2021-12-22 00:08:07,80.0
2021-12-22 00:08:08,79.427
2021-12-22 00:08:09,79.529
2021-12-22 00:08:10,79.6566
2021-12-22 00:08:11,79.7841
2021-12-22 00:08:12,79.9372
2021-12-22 00:08:13,80.0
2021-12-22 00:08:14,79.7144
2021-12-22 00:08:15,79.8106
2021-12-22 00:08:16,79.9549
2021-12-22 00:08:17,80.0
2021-12-22 00:08:18,80.0
2021-12-22 00:08:19,80.0
2021-12-22 00:08:20,79.5258
2021-12-22 00:08:21,79.6393
2021-12-22 00:08:22,79.7528
2021-12-22 00:08:23,79.8664
2021-12-22 00:08:24,79.9799
2021-12-22 00:08:25,80.0
2021-12-22 00:08:26,79.675
2021-12-22 00:08:27,79.8031
2021-12-22 00:08:28,79.9312
2021-12-22 00:08:29,80.0
2021-12-22 00:08:30,80.0
2021-12-22 00:08:31,80.0
2021-12-22 00:08:32,79.2636
2021-12-22 00:08:33,79.3711
2021-12-22 00:08:34,79.4785
2021-12-22 00:08:35,79.5859
2021-12-22 00:08:36,79.7041
2021-12-22 00:08:37,79.8222
2021-12-22 00:08:38,79.8523
2021-12-22 00:08:39,79.9691
2021-12-22 00:08:40,80.0
2021-12-22 00:08:41,80.0
2021-12-22 00:08:42,80.0
2021-12-22 00:08:43,80.0
2021-12-22 00:08:44,79.7214
2021-12-22 00:08:45,79.8406
2021-12-22 00:08:46,79.9862
2021-12-22 00:08:47,80.0
2021-12-22 00:08:48,80.0
2021-12-22 00:08:49,80.0
2021-12-22 00:08:50,79.4139
2021-12-22 00:08:51,79.5342
2021-12-22 00:08:52,79.6545
2021-12-22 00:08:53,79.7421
2021-12-22 00:08:54,79.8515
2021-12-22 00:08:55,79.9609
2021-12-22 00:08:56,79.6697
2021-12-22 00:08:57,79.8058
2021-12-22 00:08:58,79.9079
2021-12-22 00:08:59,80.0
2021-12-22 00:09:00,80.0
2021-12-22 00:09:01,80.0
2021-12-22 00:09:02,79.4449
2021-12-22 00:09:03,79.551
2021-12-22 00:09:04,79.6678
2021-12-22 00:09:05,79.7739
2021-12-22 00:09:06,79.8906
2021-12-22 00:09:07,79.9861
2021-12-22 00:09:08,79.6425
2021-12-22 00:09:09,79.7471
2021-12-22 00:09:10,79.8518
2021-12-22 00:09:11,79.9774
2021-12-22 00:09:12,80.0
2021-12-22 00:09:13,80.0
2021-12-22 00:09:14,79.7914
2021-12-22 00:09:15,79.8999
2021-12-22 00:09:16,79.9985
2021-12-22 00:09:17,80.0
2021-12-22 00:09:18,80.0
2021-12-22 00:09:19,80.0
2021-12-22 00:09:20,79.6343
2021-12-22 00:09:21,79.7303
2021-12-22 00:09:22,79.8167
2021-12-22 00:09:23,79.9222
2021-12-22 00:09:24,80.0
2021-12-22 00:09:25,80.0
2021-12-22 00:09:26,79.536
2021-12-22 00:09:27,79.6342
2021-12-22 00:09:28,79.7145
2021-12-22 00:09:29,79.8127
2021-12-22 00:09:30,79.8931
2021-12-22 00:09:31,79.9912
2021-12-22 00:09:32,79.6264
2021-12-22 00:09:33,79.6842
2021-12-22 00:09:34,79.7636
2021-12-22 00:09:35,79.8287
2021-12-22 00:09:36,79.9009
2021-12-22 00:09:37,79.9732
2021-12-22 00:09:38,79.834
2021-12-22 00:09:39,79.9197
2021-12-22 00:09:40,80.0
2021-12-22 00:09:41,80.0
2021-12-22 00:09:42,80.0
2021-12-22 00:09:43,80.0
2021-12-22 00:09:44,79.6917
2021-12-22 00:09:45,79.7915
2021-12-22 00:09:46,79.8746
2021-12-22 00:09:47,79.9412
2021-12-22 00:09:48,80.0
2021-12-22 00:09:49,80.0
2021-12-22 00:09:50,79.6016
2021-12-22 00:09:51,79.6744
2021-12-22 00:09:52,79.7472
2021-12-22 00:09:53,79.8273
2021-12-22 00:09:54,79.8855
2021-12-22 00:09:55,79.9656
2021-12-22 00:09:56,79.9002
2021-12-22 00:09:57,79.986
2021-12-22 00:09:58,80.0
2021-12-22 00:09:59,80.0
2021-12-22 00:10:00,80.0
2021-12-22 00:10:01,80.0
2021-12-22 00:10:02,79.6158
2021-12-22 00:10:03,79.6983
2021-12-22 00:10:04,79.7891
2021-12-22 00:10:05,79.8634
2021-12-22 00:10:06,79.9625
2021-12-22 00:10:07,80.0
2021-12-22 00:10:08,79.7528
2021-12-22 00:10:09,79.8376
2021-12-22 00:10:10,79.9069
2021-12-22 00:10:11,79.984
2021-12-22 00:10:12,80.0
2021-12-22 00:10:13,80.0
2021-12-22 00:10:14,79.7421
2021-12-22 00:10:15,79.8128
2021-12-22 00:10:16,79.8835
2021-12-22 00:10:17,79.9413
2021-12-22 00:10:18,80.0
2021-12-22 00:10:19,80.0
2021-12-22 00:10:20,79.6732
2021-12-22 00:10:21,79.7318
2021-12-22 00:10:22,79.7903
2021-12-22 00:10:23,79.8546
2021-12-22 00:10:24,79.9073
2021-12-22 00:10:25,79.9717
2021-12-22 00:10:26,79.657
2021-12-22 00:10:27,79.7147
2021-12-22 00:10:28,79.7618
2021-12-22 00:10:29,79.8195
2021-12-22 00:10:30,79.8719
2021-12-22 00:10:31,79.9243
2021-12-22 00:10:32,79.8098
2021-12-22 00:10:33,79.853
2021-12-22 00:10:34,79.8963
2021-12-22 00:10:35,79.9395
2021-12-22 00:10:36,79.9828
2021-12-22 00:10:37,80.0
2021-12-22 00:10:38,79.9254
2021-12-22 00:10:39,79.9676
2021-12-22 00:10:40,80.0
2021-12-22 00:10:41,80.0
2021-12-22 00:10:42,80.0
2021-12-22 00:10:43,80.0
2021-12-22 00:10:44,79.7671
2021-12-22 00:10:45,79.8107
2021-12-22 00:10:46,79.8463
2021-12-22 00:10:47,79.8938
2021-12-22 00:10:48,79.9295
2021-12-22 00:10:49,79.9691
2021-12-22 00:10:50,79.7455
2021-12-22 00:10:51,79.7707
2021-12-22 00:10:52,79.8053
2021-12-22 00:10:53,79.84
2021-12-22 00:10:54,79.8652
2021-12-22 00:10:55,79.8967
2021-12-22 00:10:56,80.0
2021-12-22 00:10:57,80.0
2021-12-22 00:10:58,80.0
2021-12-22 00:10:59,80.0
2021-12-22 00:11:00,80.0
2021-12-22 00:11:01,80.0
2021-12-22 00:11:02,79.9465
2021-12-22 00:11:03,79.9983
2021-12-22 00:11:04,80.0
2021-12-22 00:11:05,80.0
2021-12-22 00:11:06,80.0
2021-12-22 00:11:07,80.0
2021-12-22 00:11:08,79.807
2021-12-22 00:11:09,79.8742
2021-12-22 00:11:10,79.9191
2021-12-22 00:11:11,79.9752
2021-12-22 00:11:12,80.0
2021-12-22 00:11:13,80.0
2021-12-22 00:11:14,79.8793
2021-12-22 00:11:15,79.9289
2021-12-22 00:11:16,79.9784
2021-12-22 00:11:17,80.0
2021-12-22 00:11:18,80.0
2021-12-22 00:11:19,80.0
2021-12-22 00:11:20,79.7175
2021-12-22 00:11:21,79.7612
2021-12-22 00:11:22,79.8093
2021-12-22 00:11:23,79.8486
2021-12-22 00:11:24,79.8924
2021-12-22 00:11:25,79.9361
2021-12-22 00:11:26,79.8812
2021-12-22 00:11:27,79.9294
2021-12-22 00:11:28,79.9645
2021-12-22 00:11:29,80.0
2021-12-22 00:11:30,80.0
2021-12-22 00:11:31,80.0
2021-12-22 00:11:32,79.7433
2021-12-22 00:11:33,79.7863
2021-12-22 00:11:34,79.8292
2021-12-22 00:11:35,79.8722
2021-12-22 00:11:36,79.9151
2021-12-22 00:11:37,79.9581
2021-12-22 00:11:38,79.9913
2021-12-22 00:11:39,80.0
2021-12-22 00:11:40,80.0
2021-12-22 00:11:41,80.0
2021-12-22 00:11:42,80.0
2021-12-22 00:11:43,80.0
2021-12-22 00:11:44,79.8078
2021-12-22 00:11:45,79.8497
2021-12-22 00:11:46,79.8957
2021-12-22 00:11:47,79.9334
2021-12-22 00:11:48,79.9753
2021-12-22 00:11:49,80.0
2021-12-22 00:11:50,79.8625
2021-12-22 00:11:51,79.8947
2021-12-22 00:11:52,79.9304
2021-12-22 00:11:53,79.9732
2021-12-22 00:11:54,80.0
2021-12-22 00:11:55,80.0
2021-12-22 00:11:56,79.6665
2021-12-22 00:11:57,79.6819
2021-12-22 00:11:58,79.6972
2021-12-22 00:11:59,79.7156
2021-12-22 00:12:00,79.7294
2021-12-22 00:12:01,79.7432
2021-12-22 00:12:02,79.7549
2021-12-22 00:12:03,79.7685
2021-12-22 00:12:04,79.7836
2021-12-22 00:12:05,79.7987
2021-12-22 00:12:06,79.8138
2021-12-22 00:12:07,79.8304
2021-12-22 00:12:08,79.4015
2021-12-22 00:12:09,79.3915
2021-12-22 00:12:10,79.3815
2021-12-22 00:12:11,79.3715
2021-12-22 00:12:12,79.3605
2021-12-22 00:12:13,79.3515
2021-12-22 00:12:14,79.1613
2021-12-22 00:12:15,79.1453
2021-12-22 00:12:16,79.1253
2021-12-22 00:12:17,79.1053
2021-12-22 00:12:18,79.0854
2021-12-22 00:12:19,79.0634
2021-12-22 00:12:20,78.9306
2021-12-22 00:12:21,78.9015
2021-12-22 00:12:22,78.8724
2021-12-22 00:12:23,78.8512
2021-12-22 00:12:24,78.8247
2021-12-22 00:12:25,78.7956
2021-12-22 00:12:26,78.559
2021-12-22 00:12:27,78.5245
2021-12-22 00:12:28,78.4824
2021-12-22 00:12:29,78.4402
2021-12-22 00:12:30,78.4058
2021-12-22 00:12:31,78.3636
2021-12-22 00:12:32,78.2438
2021-12-22 00:12:33,78.2008
2021-12-22 00:12:34,78.162
2021-12-22 00:12:35,78.1104
2021-12-22 00:12:36,78.076
2021-12-22 00:12:37,78.0243
2021-12-22 00:12:38,78.0329
2021-12-22 00:12:39,78.0243
2021-12-22 00:12:40,78.0286
2021-12-22 00:12:41,78.0286
2021-12-22 00:12:42,78.0329
2021-12-22 00:12:43,78.0329
2021-12-22 00:12:44,78.0329
2021-12-22 00:12:45,78.0329
2021-12-22 00:12:46,78.0329
2021-12-22 00:12:47,78.0286
2021-12-22 00:12:48,78.0329
2021-12-22 00:12:49,78.0286
2021-12-22 00:12:50,78.0329
2021-12-22 00:12:51,78.0329
2021-12-22 00:12:52,78.0329
2021-12-22 00:12:53,78.0286
2021-12-22 00:12:54,78.0243
2021-12-22 00:12:55,78.0329
2021-12-22 00:12:56,78.0286
2021-12-22 00:12:57,78.0329
2021-12-22 00:12:58,78.0329
2021-12-22 00:12:59,78.0286
2021-12-22 00:13:00,78.0329
2021-12-22 00:13:01,78.0286
2021-12-22 00:13:02,78.0329
2021-12-22 00:13:03,78.0286
2021-12-22 00:13:04,78.0329
2021-12-22 00:13:05,78.0329
2021-12-22 00:13:06,78.0329
2021-12-22 00:13:07,78.0329
2021-12-22 00:13:08,78.0329
2021-12-22 00:13:09,78.0286
2021-12-22 00:13:10,78.0329
2021-12-22 00:13:11,78.0286
2021-12-22 00:13:12,78.0286
