时间,炉排实际运行指令
2021-12-22 00:02:08,60.0
2021-12-22 00:02:09,60.0
2021-12-22 00:02:10,60.0
2021-12-22 00:02:11,60.0
2021-12-22 00:02:12,60.0
2021-12-22 00:02:13,60.0
2021-12-22 00:02:14,60.0
2021-12-22 00:02:15,60.0
2021-12-22 00:02:16,60.0
2021-12-22 00:02:17,60.0
2021-12-22 00:02:18,60.0
2021-12-22 00:02:19,60.0
2021-12-22 00:02:20,60.0
2021-12-22 00:02:21,60.0
2021-12-22 00:02:22,60.0
2021-12-22 00:02:23,60.0
2021-12-22 00:02:24,60.0
2021-12-22 00:02:25,60.0
2021-12-22 00:02:26,60.0
2021-12-22 00:02:27,60.0
2021-12-22 00:02:28,60.0
2021-12-22 00:02:29,60.0
2021-12-22 00:02:30,60.0
2021-12-22 00:02:31,60.0
2021-12-22 00:02:32,60.0
2021-12-22 00:02:33,60.0
2021-12-22 00:02:34,60.0
2021-12-22 00:02:35,60.0
2021-12-22 00:02:36,60.0
2021-12-22 00:02:37,60.0
2021-12-22 00:02:38,60.0
2021-12-22 00:02:39,60.0
2021-12-22 00:02:40,60.0
2021-12-22 00:02:41,60.0
2021-12-22 00:02:42,60.0
2021-12-22 00:02:43,60.0
2021-12-22 00:02:44,60.0
2021-12-22 00:02:45,60.0
2021-12-22 00:02:46,60.0
2021-12-22 00:02:47,60.0
2021-12-22 00:02:48,60.0
2021-12-22 00:02:49,60.0
2021-12-22 00:02:50,60.0
2021-12-22 00:02:51,60.0
2021-12-22 00:02:52,60.0
2021-12-22 00:02:53,60.0
2021-12-22 00:02:54,60.0
2021-12-22 00:02:55,60.0
2021-12-22 00:02:56,59.6925
2021-12-22 00:02:57,59.8201
2021-12-22 00:02:58,59.8201
2021-12-22 00:02:59,59.8839
2021-12-22 00:03:00,59.9413
2021-12-22 00:03:01,60.0
2021-12-22 00:03:02,59.799
2021-12-22 00:03:03,59.8687
2021-12-22 00:03:04,59.9455
2021-12-22 00:03:05,60.0
2021-12-22 00:03:06,60.0
2021-12-22 00:03:07,60.0
2021-12-22 00:03:08,59.6264
2021-12-22 00:03:09,59.6886
2021-12-22 00:03:10,59.7508
2021-12-22 00:03:11,59.8131
2021-12-22 00:03:12,59.8815
2021-12-22 00:03:13,59.9437
2021-12-22 00:03:14,59.6829
2021-12-22 00:03:15,59.746
2021-12-22 00:03:16,59.8161
2021-12-22 00:03:17,59.8932
2021-12-22 00:03:18,59.9562
2021-12-22 00:03:19,60.0
2021-12-22 00:03:20,59.9635
2021-12-22 00:03:21,60.0
2021-12-22 00:03:22,60.0
2021-12-22 00:03:23,60.0
2021-12-22 00:03:24,60.0
2021-12-22 00:03:25,60.0
2021-12-22 00:03:26,59.7173
2021-12-22 00:03:27,59.8062
2021-12-22 00:03:28,59.8951
2021-12-22 00:03:29,59.984
2021-12-22 00:03:30,60.0
2021-12-22 00:03:31,60.0
2021-12-22 00:03:32,59.7675
2021-12-22 00:03:33,59.8596
2021-12-22 00:03:34,59.9517
2021-12-22 00:03:35,60.0
2021-12-22 00:03:36,60.0
2021-12-22 00:03:37,60.0
2021-12-22 00:03:38,59.5382
2021-12-22 00:03:39,59.6249
2021-12-22 00:03:40,59.7036
2021-12-22 00:03:41,59.7823
2021-12-22 00:03:42,59.8611
2021-12-22 00:03:43,59.9319
2021-12-22 00:03:44,59.5678
2021-12-22 00:03:45,59.6369
2021-12-22 00:03:46,59.6991
2021-12-22 00:03:47,59.7683
2021-12-22 00:03:48,59.8443
2021-12-22 00:03:49,59.9065
2021-12-22 00:03:50,59.8058
2021-12-22 00:03:51,59.8745
2021-12-22 00:03:52,59.9431
2021-12-22 00:03:53,60.0
2021-12-22 00:03:54,60.0
2021-12-22 00:03:55,60.0
2021-12-22 00:03:56,59.6847
2021-12-22 00:03:57,59.7642
2021-12-22 00:03:58,59.8364
2021-12-22 00:03:59,59.9087
2021-12-22 00:04:00,59.9809
2021-12-22 00:04:01,60.0
2021-12-22 00:04:02,59.7706
2021-12-22 00:04:03,59.8413
2021-12-22 00:04:04,59.912
2021-12-22 00:04:05,59.9828
2021-12-22 00:04:06,60.0
2021-12-22 00:04:07,60.0
2021-12-22 00:04:08,59.7588
2021-12-22 00:04:09,59.8289
2021-12-22 00:04:10,59.8989
2021-12-22 00:04:11,59.969
2021-12-22 00:04:12,60.0
2021-12-22 00:04:13,60.0
2021-12-22 00:04:14,59.7983
2021-12-22 00:04:15,59.8752
2021-12-22 00:04:16,59.9381
2021-12-22 00:04:17,60.0
2021-12-22 00:04:18,60.0
2021-12-22 00:04:19,59.6303
2021-12-22 00:04:20,59.6303
2021-12-22 00:04:21,59.6978
2021-12-22 00:04:22,59.7653
2021-12-22 00:04:23,59.8328
2021-12-22 00:04:24,59.9071
2021-12-22 00:04:25,59.9679
2021-12-22 00:04:26,59.7865
2021-12-22 00:04:27,59.8517
2021-12-22 00:04:28,59.917
2021-12-22 00:04:29,59.9758
2021-12-22 00:04:30,60.0
2021-12-22 00:04:31,60.0
2021-12-22 00:04:32,59.7734
2021-12-22 00:04:33,59.8434
2021-12-22 00:04:34,59.9007
2021-12-22 00:04:35,59.9643
2021-12-22 00:04:36,60.0
2021-12-22 00:04:37,60.0
2021-12-22 00:04:38,59.7824
2021-12-22 00:04:39,59.8449
2021-12-22 00:04:40,59.9136
2021-12-22 00:04:41,59.976
2021-12-22 00:04:42,60.0
2021-12-22 00:04:43,60.0
2021-12-22 00:04:44,59.6583
2021-12-22 00:04:45,59.7224
2021-12-22 00:04:46,59.7749
2021-12-22 00:04:47,59.8332
2021-12-22 00:04:48,59.8915
2021-12-22 00:04:49,59.9498
2021-12-22 00:04:50,59.8061
2021-12-22 00:04:51,59.8672
2021-12-22 00:04:52,59.9344
2021-12-22 00:04:53,59.9894
2021-12-22 00:04:54,60.0
2021-12-22 00:04:55,60.0
2021-12-22 00:04:56,59.7899
2021-12-22 00:04:57,59.8613
2021-12-22 00:04:58,59.9398
2021-12-22 00:04:59,60.0
2021-12-22 00:05:00,60.0
2021-12-22 00:05:01,60.0
2021-12-22 00:05:02,59.8047
2021-12-22 00:05:03,59.8758
2021-12-22 00:05:04,60.0
2021-12-22 00:05:05,60.0
2021-12-22 00:05:06,60.0
2021-12-22 00:05:07,60.0
2021-12-22 00:05:08,59.7191
2021-12-22 00:05:09,59.7906
2021-12-22 00:05:10,59.8621
2021-12-22 00:05:11,59.9335
2021-12-22 00:05:12,60.0
2021-12-22 00:05:13,60.0
2021-12-22 00:05:14,59.7881
2021-12-22 00:05:15,59.8634
2021-12-22 00:05:16,59.9312
2021-12-22 00:05:17,60.0
2021-12-22 00:05:18,60.0
2021-12-22 00:05:19,60.0
2021-12-22 00:05:20,59.6098
2021-12-22 00:05:21,59.6846
2021-12-22 00:05:22,59.7595
2021-12-22 00:05:23,59.8418
2021-12-22 00:05:24,59.9166
2021-12-22 00:05:25,59.984
2021-12-22 00:05:26,59.6701
2021-12-22 00:05:27,59.7442
2021-12-22 00:05:28,59.8184
2021-12-22 00:05:29,59.8926
2021-12-22 00:05:30,59.9741
2021-12-22 00:05:31,60.0
2021-12-22 00:05:32,59.8737
2021-12-22 00:05:33,59.9662
2021-12-22 00:05:34,60.0
2021-12-22 00:05:35,60.0
2021-12-22 00:05:36,60.0
2021-12-22 00:05:37,60.0
2021-12-22 00:05:38,59.7481
2021-12-22 00:05:39,59.8416
2021-12-22 00:05:40,59.935
2021-12-22 00:05:41,60.0
2021-12-22 00:05:42,60.0
2021-12-22 00:05:43,60.0
2021-12-22 00:05:44,59.6237
2021-12-22 00:05:45,59.7165
2021-12-22 00:05:46,59.7924
2021-12-22 00:05:47,59.8768
2021-12-22 00:05:48,59.9696
2021-12-22 00:05:49,60.0
2021-12-22 00:05:50,59.7452
2021-12-22 00:05:51,59.7452
2021-12-22 00:05:52,59.8236
2021-12-22 00:05:53,59.902
2021-12-22 00:05:54,59.9882
2021-12-22 00:05:55,60.0
2021-12-22 00:05:56,59.5392
2021-12-22 00:05:57,59.6215
2021-12-22 00:05:58,59.6888
2021-12-22 00:05:59,59.7712
2021-12-22 00:06:00,59.8385
2021-12-22 00:06:01,59.9134
2021-12-22 00:06:02,59.7197
2021-12-22 00:06:03,59.7998
2021-12-22 00:06:04,59.8654
2021-12-22 00:06:05,59.9455
2021-12-22 00:06:06,60.0
2021-12-22 00:06:07,60.0
2021-12-22 00:06:08,59.7426
2021-12-22 00:06:09,59.8207
2021-12-22 00:06:10,59.8845
2021-12-22 00:06:11,59.9555
2021-12-22 00:06:12,60.0
2021-12-22 00:06:13,60.0
2021-12-22 00:06:14,59.7857
2021-12-22 00:06:15,59.8638
2021-12-22 00:06:16,59.9277
2021-12-22 00:06:17,59.9986
2021-12-22 00:06:18,60.0
2021-12-22 00:06:19,60.0
2021-12-22 00:06:20,59.6269
2021-12-22 00:06:21,59.6929
2021-12-22 00:06:22,59.7589
2021-12-22 00:06:23,59.8248
2021-12-22 00:06:24,59.8908
2021-12-22 00:06:25,59.9634
2021-12-22 00:06:26,59.7259
2021-12-22 00:06:27,59.8131
2021-12-22 00:06:28,59.9964
2021-12-22 00:06:29,59.9964
2021-12-22 00:06:30,60.0
2021-12-22 00:06:31,60.0
2021-12-22 00:06:32,59.7945
2021-12-22 00:06:33,59.8824
2021-12-22 00:06:34,59.9703
2021-12-22 00:06:35,60.0
2021-12-22 00:06:36,60.0
2021-12-22 00:06:37,60.0
2021-12-22 00:06:38,59.7794
2021-12-22 00:06:39,59.8729
2021-12-22 00:06:40,59.957
2021-12-22 00:06:41,60.0
2021-12-22 00:06:42,60.0
2021-12-22 00:06:43,60.0
2021-12-22 00:06:44,59.7169
2021-12-22 00:06:45,59.8165
2021-12-22 00:06:46,59.9162
2021-12-22 00:06:47,60.0
2021-12-22 00:06:48,60.0
2021-12-22 00:06:49,60.0
2021-12-22 00:06:50,59.378
2021-12-22 00:06:51,59.4494
2021-12-22 00:06:52,59.5287
2021-12-22 00:06:53,59.608
2021-12-22 00:06:54,59.6873
2021-12-22 00:06:55,59.7666
2021-12-22 00:06:56,59.8116
2021-12-22 00:06:57,59.9031
2021-12-22 00:06:58,59.9854
2021-12-22 00:06:59,60.0
2021-12-22 00:07:00,60.0
2021-12-22 00:07:01,60.0
2021-12-22 00:07:02,59.6996
2021-12-22 00:07:03,59.7819
2021-12-22 00:07:04,59.8734
2021-12-22 00:07:05,59.974
2021-12-22 00:07:06,60.0
2021-12-22 00:07:07,60.0
2021-12-22 00:07:08,59.5875
2021-12-22 00:07:09,59.7802
2021-12-22 00:07:10,59.8766
2021-12-22 00:07:11,59.8766
2021-12-22 00:07:12,59.973
2021-12-22 00:07:13,60.0
2021-12-22 00:07:14,59.7098
2021-12-22 00:07:15,59.7869
2021-12-22 00:07:16,59.8725
2021-12-22 00:07:17,59.9581
2021-12-22 00:07:18,60.0
2021-12-22 00:07:19,60.0
2021-12-22 00:07:20,59.5733
2021-12-22 00:07:21,59.6694
2021-12-22 00:07:22,59.7567
2021-12-22 00:07:23,59.8354
2021-12-22 00:07:24,59.9314
2021-12-22 00:07:25,60.0
2021-12-22 00:07:26,59.6746
2021-12-22 00:07:27,59.7822
2021-12-22 00:07:28,59.8801
2021-12-22 00:07:29,59.9681
2021-12-22 00:07:30,60.0
2021-12-22 00:07:31,60.0
2021-12-22 00:07:32,59.5166
2021-12-22 00:07:33,59.6015
2021-12-22 00:07:34,59.6863
2021-12-22 00:07:35,59.7796
2021-12-22 00:07:36,59.856
2021-12-22 00:07:37,59.9408
2021-12-22 00:07:38,59.9157
2021-12-22 00:07:39,60.0
2021-12-22 00:07:40,60.0
2021-12-22 00:07:41,60.0
2021-12-22 00:07:42,60.0
2021-12-22 00:07:43,60.0
2021-12-22 00:07:44,59.5599
2021-12-22 00:07:45,59.6716
2021-12-22 00:07:46,59.7833
2021-12-22 00:07:47,59.8951
2021-12-22 00:07:48,60.0
2021-12-22 00:07:49,60.0
2021-12-22 00:07:50,59.4831
2021-12-22 00:07:51,59.5876
2021-12-22 00:07:52,59.7026
2021-12-22 00:07:53,59.7967
2021-12-22 00:07:54,59.9013
2021-12-22 00:07:55,60.0
2021-12-22 00:07:56,59.74
2021-12-22 00:07:57,59.8469
2021-12-22 00:07:58,59.9658
2021-12-22 00:07:59,60.0
2021-12-22 00:08:00,60.0
2021-12-22 00:08:01,60.0
2021-12-22 00:08:02,59.6624
2021-12-22 00:08:03,59.7821
2021-12-22 00:08:04,59.9139
2021-12-22 00:08:05,60.0
2021-12-22 00:08:06,60.0
2021-12-22 00:08:07,60.0
2021-12-22 00:08:08,59.3504
2021-12-22 00:08:09,59.4907
2021-12-22 00:08:10,59.6055
2021-12-22 00:08:11,59.733
2021-12-22 00:08:12,59.8605
2021-12-22 00:08:13,59.988
2021-12-22 00:08:14,59.6423
2021-12-22 00:08:15,59.7745
2021-12-22 00:08:16,59.8827
2021-12-22 00:08:17,60.0
2021-12-22 00:08:18,60.0
2021-12-22 00:08:19,60.0
2021-12-22 00:08:20,59.4917
2021-12-22 00:08:21,59.6052
2021-12-22 00:08:22,59.7187
2021-12-22 00:08:23,59.8322
2021-12-22 00:08:24,59.9343
2021-12-22 00:08:25,60.0
2021-12-22 00:08:26,59.6237
2021-12-22 00:08:27,59.7518
2021-12-22 00:08:28,59.8927
2021-12-22 00:08:29,60.0
2021-12-22 00:08:30,60.0
2021-12-22 00:08:31,60.0
2021-12-22 00:08:32,59.2314
2021-12-22 00:08:33,59.328
2021-12-22 00:08:34,59.4462
2021-12-22 00:08:35,59.6609
2021-12-22 00:08:36,59.6609
2021-12-22 00:08:37,59.7683
2021-12-22 00:08:38,59.7874
2021-12-22 00:08:39,59.9173
2021-12-22 00:08:40,60.0
2021-12-22 00:08:41,60.0
2021-12-22 00:08:42,60.0
2021-12-22 00:08:43,60.0
2021-12-22 00:08:44,59.6552
2021-12-22 00:08:45,59.7876
2021-12-22 00:08:46,59.9199
2021-12-22 00:08:47,60.0
2021-12-22 00:08:48,60.0
2021-12-22 00:08:49,60.0
2021-12-22 00:08:50,59.381
2021-12-22 00:08:51,59.4795
2021-12-22 00:08:52,59.589
2021-12-22 00:08:53,59.7094
2021-12-22 00:08:54,59.8079
2021-12-22 00:08:55,59.9173
2021-12-22 00:08:56,59.6243
2021-12-22 00:08:57,59.749
2021-12-22 00:08:58,59.8511
2021-12-22 00:08:59,59.9645
2021-12-22 00:09:00,60.0
2021-12-22 00:09:01,60.0
2021-12-22 00:09:02,59.4025
2021-12-22 00:09:03,59.5086
2021-12-22 00:09:04,59.6147
2021-12-22 00:09:05,59.7208
2021-12-22 00:09:06,59.8376
2021-12-22 00:09:07,59.9331
2021-12-22 00:09:08,59.6006
2021-12-22 00:09:09,59.7157
2021-12-22 00:09:10,59.8099
2021-12-22 00:09:11,59.9145
2021-12-22 00:09:12,60.0
2021-12-22 00:09:13,60.0
2021-12-22 00:09:14,59.742
2021-12-22 00:09:15,59.8506
2021-12-22 00:09:16,59.9394
2021-12-22 00:09:17,60.0
2021-12-22 00:09:18,60.0
2021-12-22 00:09:19,60.0
2021-12-22 00:09:20,59.5863
2021-12-22 00:09:21,59.6823
2021-12-22 00:09:22,59.7782
2021-12-22 00:09:23,59.8837
2021-12-22 00:09:24,59.9701
2021-12-22 00:09:25,60.0
2021-12-22 00:09:26,59.5003
2021-12-22 00:09:27,59.5984
2021-12-22 00:09:28,59.6787
2021-12-22 00:09:29,59.7769
2021-12-22 00:09:30,59.8572
2021-12-22 00:09:31,59.9464
2021-12-22 00:09:32,59.583
2021-12-22 00:09:33,59.6552
2021-12-22 00:09:34,59.7274
2021-12-22 00:09:35,59.8069
2021-12-22 00:09:36,59.8718
2021-12-22 00:09:37,59.9441
2021-12-22 00:09:38,59.7998
2021-12-22 00:09:39,59.8854
2021-12-22 00:09:40,59.9797
2021-12-22 00:09:41,60.0
2021-12-22 00:09:42,60.0
2021-12-22 00:09:43,60.0
2021-12-22 00:09:44,59.6584
2021-12-22 00:09:45,59.7416
2021-12-22 00:09:46,59.8248
2021-12-22 00:09:47,59.9163
2021-12-22 00:09:48,59.9995
2021-12-22 00:09:49,60.0
2021-12-22 00:09:50,59.5725
2021-12-22 00:09:51,59.638
2021-12-22 00:09:52,59.7181
2021-12-22 00:09:53,59.7836
2021-12-22 00:09:54,59.8564
2021-12-22 00:09:55,59.8659
2021-12-22 00:09:56,59.8659
2021-12-22 00:09:57,59.9603
2021-12-22 00:09:58,60.0
2021-12-22 00:09:59,60.0
2021-12-22 00:10:00,60.0
2021-12-22 00:10:01,60.0
2021-12-22 00:10:02,59.5828
2021-12-22 00:10:03,59.6736
2021-12-22 00:10:04,59.7562
2021-12-22 00:10:05,59.8305
2021-12-22 00:10:06,59.9214
2021-12-22 00:10:07,60.0
2021-12-22 00:10:08,59.7297
2021-12-22 00:10:09,59.799
2021-12-22 00:10:10,59.8761
2021-12-22 00:10:11,59.9531
2021-12-22 00:10:12,60.0
2021-12-22 00:10:13,60.0
2021-12-22 00:10:14,59.7164
2021-12-22 00:10:15,59.7806
2021-12-22 00:10:16,59.8513
2021-12-22 00:10:17,59.9155
2021-12-22 00:10:18,59.9797
2021-12-22 00:10:19,60.0
2021-12-22 00:10:20,59.6498
2021-12-22 00:10:21,59.7084
2021-12-22 00:10:22,59.7669
2021-12-22 00:10:23,59.8254
2021-12-22 00:10:24,59.8898
2021-12-22 00:10:25,59.9483
2021-12-22 00:10:26,59.636
2021-12-22 00:10:27,59.6885
2021-12-22 00:10:28,59.7462
2021-12-22 00:10:29,59.7986
2021-12-22 00:10:30,59.8511
2021-12-22 00:10:31,59.8983
2021-12-22 00:10:32,59.797
2021-12-22 00:10:33,59.8359
2021-12-22 00:10:34,59.8792
2021-12-22 00:10:35,59.9268
2021-12-22 00:10:36,59.97
2021-12-22 00:10:37,60.0
2021-12-22 00:10:38,59.9127
2021-12-22 00:10:39,59.9929
2021-12-22 00:10:40,60.0
2021-12-22 00:10:41,60.0
2021-12-22 00:10:42,60.0
2021-12-22 00:10:43,60.0
2021-12-22 00:10:44,59.7552
2021-12-22 00:10:45,59.7909
2021-12-22 00:10:46,59.8305
2021-12-22 00:10:47,59.874
2021-12-22 00:10:48,59.9097
2021-12-22 00:10:49,59.9493
2021-12-22 00:10:50,59.7266
2021-12-22 00:10:51,59.7612
2021-12-22 00:10:52,59.7896
2021-12-22 00:10:53,59.8211
2021-12-22 00:10:54,59.8526
2021-12-22 00:10:55,59.8873
2021-12-22 00:10:56,59.9809
2021-12-22 00:10:57,60.0
2021-12-22 00:10:58,60.0
2021-12-22 00:10:59,60.0
2021-12-22 00:11:00,60.0
2021-12-22 00:11:01,60.0
2021-12-22 00:11:02,59.9153
2021-12-22 00:11:03,59.9724
2021-12-22 00:11:04,60.0
2021-12-22 00:11:05,60.0
2021-12-22 00:11:06,60.0
2021-12-22 00:11:07,60.0
2021-12-22 00:11:08,59.7845
2021-12-22 00:11:09,59.8406
2021-12-22 00:11:10,59.8968
2021-12-22 00:11:11,59.9585
2021-12-22 00:11:12,60.0
2021-12-22 00:11:13,60.0
2021-12-22 00:11:14,59.8644
2021-12-22 00:11:15,59.909
2021-12-22 00:11:16,59.9586
2021-12-22 00:11:17,60.0
2021-12-22 00:11:18,60.0
2021-12-22 00:11:19,60.0
2021-12-22 00:11:20,59.7
2021-12-22 00:11:21,59.7481
2021-12-22 00:11:22,59.8356
2021-12-22 00:11:23,59.8356
2021-12-22 00:11:24,59.8794
2021-12-22 00:11:25,59.9232
2021-12-22 00:11:26,59.8637
2021-12-22 00:11:27,59.9031
2021-12-22 00:11:28,59.9469
2021-12-22 00:11:29,59.9906
2021-12-22 00:11:30,60.0
2021-12-22 00:11:31,60.0
2021-12-22 00:11:32,59.7261
2021-12-22 00:11:33,59.7733
2021-12-22 00:11:34,59.812
2021-12-22 00:11:35,59.8549
2021-12-22 00:11:36,59.8978
2021-12-22 00:11:37,59.945
2021-12-22 00:11:38,59.9743
2021-12-22 00:11:39,60.0
2021-12-22 00:11:40,60.0
2021-12-22 00:11:41,60.0
2021-12-22 00:11:42,60.0
2021-12-22 00:11:43,60.0
2021-12-22 00:11:44,59.7952
2021-12-22 00:11:45,59.8329
2021-12-22 00:11:46,59.8748
2021-12-22 00:11:47,59.9167
2021-12-22 00:11:48,59.9586
2021-12-22 00:11:49,60.0
2021-12-22 00:11:50,59.8447
2021-12-22 00:11:51,59.8804
2021-12-22 00:11:52,59.9161
2021-12-22 00:11:53,59.9518
2021-12-22 00:11:54,59.9875
2021-12-22 00:11:55,60.0
2021-12-22 00:11:56,59.6619
2021-12-22 00:11:57,59.6773
2021-12-22 00:11:58,59.6927
2021-12-22 00:11:59,59.7065
2021-12-22 00:12:00,59.7219
2021-12-22 00:12:01,59.7373
2021-12-22 00:12:02,59.7626
2021-12-22 00:12:03,59.7626
2021-12-22 00:12:04,59.7792
2021-12-22 00:12:05,59.7942
2021-12-22 00:12:06,59.8078
2021-12-22 00:12:07,59.8229
2021-12-22 00:12:08,59.4055
2021-12-22 00:12:09,59.3945
2021-12-22 00:12:10,59.3855
2021-12-22 00:12:11,59.3745
2021-12-22 00:12:12,59.3655
2021-12-22 00:12:13,59.3555
2021-12-22 00:12:14,59.1733
2021-12-22 00:12:15,59.1533
2021-12-22 00:12:16,59.1333
2021-12-22 00:12:17,59.1113
2021-12-22 00:12:18,59.0914
2021-12-22 00:12:19,59.0734
2021-12-22 00:12:20,58.9412
2021-12-22 00:12:21,58.9121
2021-12-22 00:12:22,58.8884
2021-12-22 00:12:23,58.8619
2021-12-22 00:12:24,58.8355
2021-12-22 00:12:25,58.8064
2021-12-22 00:12:26,58.5783
2021-12-22 00:12:27,58.5401
2021-12-22 00:12:28,58.5018
2021-12-22 00:12:29,58.4597
2021-12-22 00:12:30,58.4253
2021-12-22 00:12:31,58.387
2021-12-22 00:12:32,58.2657
2021-12-22 00:12:33,58.2228
2021-12-22 00:12:34,58.1798
2021-12-22 00:12:35,58.1368
2021-12-22 00:12:36,58.0938
2021-12-22 00:12:37,58.0508
2021-12-22 00:12:38,58.025
2021-12-22 00:12:39,58.025
2021-12-22 00:12:40,58.0293
2021-12-22 00:12:41,58.0293
2021-12-22 00:12:42,58.0293
2021-12-22 00:12:43,58.0293
2021-12-22 00:12:44,58.025
2021-12-22 00:12:45,58.025
2021-12-22 00:12:46,58.0293
2021-12-22 00:12:47,58.0293
2021-12-22 00:12:48,58.025
2021-12-22 00:12:49,58.0293
2021-12-22 00:12:50,58.0293
2021-12-22 00:12:51,58.025
2021-12-22 00:12:52,58.0293
2021-12-22 00:12:53,58.0293
2021-12-22 00:12:54,58.025
2021-12-22 00:12:55,58.0293
2021-12-22 00:12:56,58.0293
2021-12-22 00:12:57,58.025
2021-12-22 00:12:58,58.0293
2021-12-22 00:12:59,58.0293
2021-12-22 00:13:00,58.0293
2021-12-22 00:13:01,58.0293
2021-12-22 00:13:02,58.025
2021-12-22 00:13:03,58.0293
2021-12-22 00:13:04,58.0293
2021-12-22 00:13:05,58.0293
2021-12-22 00:13:06,58.025
2021-12-22 00:13:07,58.025
2021-12-22 00:13:08,58.0293
2021-12-22 00:13:09,58.0293
2021-12-22 00:13:10,58.025
2021-12-22 00:13:11,58.025
2021-12-22 00:13:12,58.025
2021-12-22 00:13:13,58.0293
2021-12-22 00:13:14,58.025
2021-12-22 00:13:15,58.025
