时间,主蒸汽流量
2021-12-22 00:01:27,61.3108
2021-12-22 00:01:28,61.4216
2021-12-22 00:01:29,61.388
2021-12-22 00:01:30,61.6144
2021-12-22 00:01:31,61.3156
2021-12-22 00:01:32,61.3156
2021-12-22 00:01:33,61.4047
2021-12-22 00:01:34,61.5549
2021-12-22 00:01:35,61.4097
2021-12-22 00:01:36,61.1932
2021-12-22 00:01:37,61.2633
2021-12-22 00:01:38,61.257
2021-12-22 00:01:39,61.2986
2021-12-22 00:01:40,61.2403
2021-12-22 00:01:41,61.2004
2021-12-22 00:01:42,61.3201
2021-12-22 00:01:43,61.4552
2021-12-22 00:01:44,61.2086
2021-12-22 00:01:45,61.1047
2021-12-22 00:01:46,61.092
2021-12-22 00:01:47,61.2135
2021-12-22 00:01:48,61.1035
2021-12-22 00:01:49,61.026
2021-12-22 00:01:50,61.3002
2021-12-22 00:01:51,60.9669
2021-12-22 00:01:52,61.1106
2021-12-22 00:01:53,61.3249
2021-12-22 00:01:54,61.17
2021-12-22 00:01:55,60.939
2021-12-22 00:01:56,61.1203
2021-12-22 00:01:57,61.1864
2021-12-22 00:01:58,60.9913
2021-12-22 00:01:59,60.9704
2021-12-22 00:02:00,61.058
2021-12-22 00:02:01,60.9482
2021-12-22 00:02:02,60.9258
2021-12-22 00:02:03,61.1541
2021-12-22 00:02:04,60.8361
2021-12-22 00:02:05,61.0217
2021-12-22 00:02:06,60.8834
2021-12-22 00:02:07,60.8778
2021-12-22 00:02:08,60.8201
2021-12-22 00:02:09,61.0297
2021-12-22 00:02:10,60.9045
2021-12-22 00:02:11,60.993
2021-12-22 00:02:12,60.75
2021-12-22 00:02:13,60.9698
2021-12-22 00:02:14,60.7769
2021-12-22 00:02:15,60.885
2021-12-22 00:02:16,60.6425
2021-12-22 00:02:17,60.7533
2021-12-22 00:02:18,60.8726
2021-12-22 00:02:19,60.993
2021-12-22 00:02:20,60.7445
2021-12-22 00:02:21,60.9507
2021-12-22 00:02:22,60.7179
2021-12-22 00:02:23,60.8472
2021-12-22 00:02:24,60.7784
2021-12-22 00:02:25,60.6894
2021-12-22 00:02:26,60.6349
2021-12-22 00:02:27,60.6774
2021-12-22 00:02:28,60.6099
2021-12-22 00:02:29,60.5207
2021-12-22 00:02:30,60.5396
2021-12-22 00:02:31,60.8144
2021-12-22 00:02:32,60.7952
2021-12-22 00:02:33,60.5227
2021-12-22 00:02:34,60.8336
2021-12-22 00:02:35,60.4715
2021-12-22 00:02:36,60.4948
2021-12-22 00:02:37,60.4845
2021-12-22 00:02:38,60.7828
2021-12-22 00:02:39,60.4919
2021-12-22 00:02:40,60.3953
2021-12-22 00:02:41,60.358
2021-12-22 00:02:42,60.4344
2021-12-22 00:02:43,60.529
2021-12-22 00:02:44,60.5976
2021-12-22 00:02:45,60.5695
2021-12-22 00:02:46,60.1987
2021-12-22 00:02:47,60.1787
2021-12-22 00:02:48,60.5252
2021-12-22 00:02:49,60.3507
2021-12-22 00:02:50,60.6582
2021-12-22 00:02:51,60.5052
2021-12-22 00:02:52,60.2181
2021-12-22 00:02:53,60.3194
2021-12-22 00:02:54,60.4282
2021-12-22 00:02:55,60.5189
2021-12-22 00:02:56,60.502
2021-12-22 00:02:57,60.3814
2021-12-22 00:02:58,60.3814
2021-12-22 00:02:59,60.3436
2021-12-22 00:03:00,60.2827
2021-12-22 00:03:01,60.1
2021-12-22 00:03:02,60.2715
2021-12-22 00:03:03,60.3254
2021-12-22 00:03:04,60.3315
2021-12-22 00:03:05,60.2725
2021-12-22 00:03:06,60.2037
2021-12-22 00:03:07,60.2933
2021-12-22 00:03:08,60.2352
2021-12-22 00:03:09,59.959
2021-12-22 00:03:10,60.1043
2021-12-22 00:03:11,60.1431
2021-12-22 00:03:12,60.2473
2021-12-22 00:03:13,60.217
2021-12-22 00:03:14,60.0348
2021-12-22 00:03:15,59.9561
2021-12-22 00:03:16,60.2663
2021-12-22 00:03:17,59.8057
2021-12-22 00:03:18,59.9682
2021-12-22 00:03:19,59.9965
2021-12-22 00:03:20,60.0393
2021-12-22 00:03:21,60.1155
2021-12-22 00:03:22,59.8805
2021-12-22 00:03:23,59.7567
2021-12-22 00:03:24,59.7583
2021-12-22 00:03:25,59.9455
2021-12-22 00:03:26,59.9362
2021-12-22 00:03:27,59.8958
2021-12-22 00:03:28,59.8096
2021-12-22 00:03:29,59.8554
2021-12-22 00:03:30,59.4839
2021-12-22 00:03:31,59.8105
2021-12-22 00:03:32,59.8078
2021-12-22 00:03:33,59.8101
2021-12-22 00:03:34,59.8602
2021-12-22 00:03:35,59.7408
2021-12-22 00:03:36,59.6459
2021-12-22 00:03:37,59.7178
2021-12-22 00:03:38,59.8602
2021-12-22 00:03:39,59.8057
2021-12-22 00:03:40,59.7505
2021-12-22 00:03:41,59.562
2021-12-22 00:03:42,59.4655
2021-12-22 00:03:43,59.518
2021-12-22 00:03:44,59.621
2021-12-22 00:03:45,59.5774
2021-12-22 00:03:46,59.6728
2021-12-22 00:03:47,59.4236
2021-12-22 00:03:48,59.7359
2021-12-22 00:03:49,59.6602
2021-12-22 00:03:50,59.4402
2021-12-22 00:03:51,59.5098
2021-12-22 00:03:52,59.5956
2021-12-22 00:03:53,59.5539
2021-12-22 00:03:54,59.6572
2021-12-22 00:03:55,59.4255
2021-12-22 00:03:56,59.7168
2021-12-22 00:03:57,59.7324
2021-12-22 00:03:58,59.4329
2021-12-22 00:03:59,59.5606
2021-12-22 00:04:00,59.4153
2021-12-22 00:04:01,59.505
2021-12-22 00:04:02,59.3399
2021-12-22 00:04:03,59.6914
2021-12-22 00:04:04,59.5211
2021-12-22 00:04:05,59.4903
2021-12-22 00:04:06,59.3087
2021-12-22 00:04:07,59.2363
2021-12-22 00:04:08,59.2402
2021-12-22 00:04:09,59.3013
2021-12-22 00:04:10,59.2426
2021-12-22 00:04:11,59.4048
2021-12-22 00:04:12,59.1501
2021-12-22 00:04:13,59.4157
2021-12-22 00:04:14,59.4157
2021-12-22 00:04:15,59.1969
2021-12-22 00:04:16,59.2781
2021-12-22 00:04:17,59.2974
2021-12-22 00:04:18,59.2757
2021-12-22 00:04:19,59.0634
2021-12-22 00:04:20,59.0634
2021-12-22 00:04:21,59.3614
2021-12-22 00:04:22,59.1174
2021-12-22 00:04:23,59.2458
2021-12-22 00:04:24,59.19
2021-12-22 00:04:25,59.1483
2021-12-22 00:04:26,58.9335
2021-12-22 00:04:27,59.0694
2021-12-22 00:04:28,58.9888
2021-12-22 00:04:29,59.1385
2021-12-22 00:04:30,59.0656
2021-12-22 00:04:31,59.1916
2021-12-22 00:04:32,59.2099
2021-12-22 00:04:33,59.0868
2021-12-22 00:04:34,59.2446
2021-12-22 00:04:35,58.9687
2021-12-22 00:04:36,58.9248
2021-12-22 00:04:37,59.0481
2021-12-22 00:04:38,58.9151
2021-12-22 00:04:39,58.9412
2021-12-22 00:04:40,59.1784
2021-12-22 00:04:41,59.0868
2021-12-22 00:04:42,59.1238
2021-12-22 00:04:43,59.0723
2021-12-22 00:04:44,59.0945
2021-12-22 00:04:45,58.9127
2021-12-22 00:04:46,58.946
2021-12-22 00:04:47,58.9474
2021-12-22 00:04:48,58.9251
2021-12-22 00:04:49,58.8792
2021-12-22 00:04:50,58.846
2021-12-22 00:04:51,59.0682
2021-12-22 00:04:52,58.7381
2021-12-22 00:04:53,58.7625
2021-12-22 00:04:54,58.9529
2021-12-22 00:04:55,58.7959
2021-12-22 00:04:56,58.8233
2021-12-22 00:04:57,58.7947
2021-12-22 00:04:58,58.5883
2021-12-22 00:04:59,58.8291
2021-12-22 00:05:00,58.7472
2021-12-22 00:05:01,58.5646
2021-12-22 00:05:02,58.798
2021-12-22 00:05:03,58.5036
2021-12-22 00:05:04,58.6225
2021-12-22 00:05:05,58.6225
2021-12-22 00:05:06,58.754
2021-12-22 00:05:07,58.7876
2021-12-22 00:05:08,58.9943
2021-12-22 00:05:09,58.6596
2021-12-22 00:05:10,58.7144
2021-12-22 00:05:11,58.6956
2021-12-22 00:05:12,58.652
2021-12-22 00:05:13,58.5589
2021-12-22 00:05:14,58.5761
2021-12-22 00:05:15,58.4648
2021-12-22 00:05:16,58.6193
2021-12-22 00:05:17,58.3612
2021-12-22 00:05:18,58.4063
2021-12-22 00:05:19,58.4637
2021-12-22 00:05:20,58.674
2021-12-22 00:05:21,58.5097
2021-12-22 00:05:22,58.3523
2021-12-22 00:05:23,58.2248
2021-12-22 00:05:24,58.4436
2021-12-22 00:05:25,58.322
2021-12-22 00:05:26,58.2843
2021-12-22 00:05:27,58.1045
2021-12-22 00:05:28,58.5488
2021-12-22 00:05:29,58.3219
2021-12-22 00:05:30,58.2004
2021-12-22 00:05:31,58.0437
2021-12-22 00:05:32,58.3306
2021-12-22 00:05:33,58.2555
2021-12-22 00:05:34,58.1667
2021-12-22 00:05:35,58.4606
2021-12-22 00:05:36,58.4268
2021-12-22 00:05:37,58.3255
2021-12-22 00:05:38,58.0889
2021-12-22 00:05:39,57.9458
2021-12-22 00:05:40,58.2471
2021-12-22 00:05:41,58.1165
2021-12-22 00:05:42,58.0351
2021-12-22 00:05:43,58.1756
2021-12-22 00:05:44,58.2446
2021-12-22 00:05:45,57.9181
2021-12-22 00:05:46,57.9911
2021-12-22 00:05:47,57.9597
2021-12-22 00:05:48,58.0358
2021-12-22 00:05:49,58.0019
2021-12-22 00:05:50,58.0961
2021-12-22 00:05:51,57.9302
2021-12-22 00:05:52,57.9604
2021-12-22 00:05:53,57.9906
2021-12-22 00:05:54,57.9201
2021-12-22 00:05:55,58.0032
2021-12-22 00:05:56,57.8748
2021-12-22 00:05:57,57.9
2021-12-22 00:05:58,57.9453
2021-12-22 00:05:59,57.9296
2021-12-22 00:06:00,57.7537
2021-12-22 00:06:01,57.6975
2021-12-22 00:06:02,57.8566
2021-12-22 00:06:03,57.7291
2021-12-22 00:06:04,57.6533
2021-12-22 00:06:05,58.1595
2021-12-22 00:06:06,58.0666
2021-12-22 00:06:07,57.8623
2021-12-22 00:06:08,57.7809
2021-12-22 00:06:09,57.6849
2021-12-22 00:06:10,57.8023
2021-12-22 00:06:11,57.6622
2021-12-22 00:06:12,57.7456
2021-12-22 00:06:13,57.6824
2021-12-22 00:06:14,57.6818
2021-12-22 00:06:15,57.6767
2021-12-22 00:06:16,57.6489
2021-12-22 00:06:17,57.6705
2021-12-22 00:06:18,57.7463
2021-12-22 00:06:19,57.4501
2021-12-22 00:06:20,57.6729
2021-12-22 00:06:21,57.721
2021-12-22 00:06:22,57.4095
2021-12-22 00:06:23,57.3491
2021-12-22 00:06:24,57.3174
2021-12-22 00:06:25,57.4965
2021-12-22 00:06:26,57.4483
2021-12-22 00:06:27,57.4241
2021-12-22 00:06:28,57.4127
2021-12-22 00:06:29,57.4127
2021-12-22 00:06:30,57.4952
2021-12-22 00:06:31,57.3645
2021-12-22 00:06:32,57.5131
2021-12-22 00:06:33,57.4382
2021-12-22 00:06:34,57.1837
2021-12-22 00:06:35,57.3542
2021-12-22 00:06:36,57.3186
2021-12-22 00:06:37,57.423
2021-12-22 00:06:38,57.2843
2021-12-22 00:06:39,57.2041
2021-12-22 00:06:40,57.2325
2021-12-22 00:06:41,57.3854
2021-12-22 00:06:42,57.2329
2021-12-22 00:06:43,57.3619
2021-12-22 00:06:44,57.2112
2021-12-22 00:06:45,57.4046
2021-12-22 00:06:46,57.1985
2021-12-22 00:06:47,57.0721
2021-12-22 00:06:48,57.0642
2021-12-22 00:06:49,56.7786
2021-12-22 00:06:50,57.2162
2021-12-22 00:06:51,57.1526
2021-12-22 00:06:52,57.214
2021-12-22 00:06:53,57.0414
2021-12-22 00:06:54,57.0372
2021-12-22 00:06:55,56.9641
2021-12-22 00:06:56,57.259
2021-12-22 00:06:57,56.9831
2021-12-22 00:06:58,57.0397
2021-12-22 00:06:59,56.9141
2021-12-22 00:07:00,57.156
2021-12-22 00:07:01,56.79
2021-12-22 00:07:02,56.9452
2021-12-22 00:07:03,57.0372
2021-12-22 00:07:04,56.6252
2021-12-22 00:07:05,56.8092
2021-12-22 00:07:06,56.9059
2021-12-22 00:07:07,56.8187
2021-12-22 00:07:08,56.6338
2021-12-22 00:07:09,56.7904
2021-12-22 00:07:10,56.9108
2021-12-22 00:07:11,56.9108
2021-12-22 00:07:12,56.5987
2021-12-22 00:07:13,56.6607
2021-12-22 00:07:14,56.5804
2021-12-22 00:07:15,56.6883
2021-12-22 00:07:16,56.9145
2021-12-22 00:07:17,56.7708
2021-12-22 00:07:18,56.4798
2021-12-22 00:07:19,56.7503
2021-12-22 00:07:20,56.5523
2021-12-22 00:07:21,56.615
2021-12-22 00:07:22,56.6691
2021-12-22 00:07:23,56.7206
2021-12-22 00:07:24,56.6463
2021-12-22 00:07:25,56.3868
2021-12-22 00:07:26,56.3868
2021-12-22 00:07:27,56.5147
2021-12-22 00:07:28,56.3276
2021-12-22 00:07:29,56.4073
2021-12-22 00:07:30,56.3863
2021-12-22 00:07:31,56.4268
2021-12-22 00:07:32,56.3503
2021-12-22 00:07:33,56.2985
2021-12-22 00:07:34,56.4102
2021-12-22 00:07:35,56.5112
2021-12-22 00:07:36,56.0501
2021-12-22 00:07:37,56.4249
2021-12-22 00:07:38,56.2575
2021-12-22 00:07:39,56.3085
2021-12-22 00:07:40,56.2085
2021-12-22 00:07:41,56.5102
2021-12-22 00:07:42,56.1703
2021-12-22 00:07:43,56.056
2021-12-22 00:07:44,56.0076
2021-12-22 00:07:45,56.1046
2021-12-22 00:07:46,56.0596
2021-12-22 00:07:47,56.0794
2021-12-22 00:07:48,56.0382
2021-12-22 00:07:49,55.9164
2021-12-22 00:07:50,55.9685
2021-12-22 00:07:51,55.8325
2021-12-22 00:07:52,55.843
2021-12-22 00:07:53,55.9685
2021-12-22 00:07:54,55.8659
2021-12-22 00:07:55,56.0866
2021-12-22 00:07:56,55.9066
2021-12-22 00:07:57,55.709
2021-12-22 00:07:58,55.6347
2021-12-22 00:07:59,55.8918
2021-12-22 00:08:00,55.7414
2021-12-22 00:08:01,55.6311
2021-12-22 00:08:02,55.6409
2021-12-22 00:08:03,55.5485
2021-12-22 00:08:04,55.8711
2021-12-22 00:08:05,55.6311
2021-12-22 00:08:06,55.7754
2021-12-22 00:08:07,55.5157
2021-12-22 00:08:08,55.3388
2021-12-22 00:08:09,55.5633
2021-12-22 00:08:10,55.6383
2021-12-22 00:08:11,55.4966
2021-12-22 00:08:12,55.2849
2021-12-22 00:08:13,55.4498
2021-12-22 00:08:14,55.3922
2021-12-22 00:08:15,55.5187
2021-12-22 00:08:16,55.3768
2021-12-22 00:08:17,55.2576
2021-12-22 00:08:18,55.3363
2021-12-22 00:08:19,55.4136
2021-12-22 00:08:20,55.337
2021-12-22 00:08:21,55.3747
2021-12-22 00:08:22,55.2751
2021-12-22 00:08:23,55.2009
2021-12-22 00:08:24,55.2203
2021-12-22 00:08:25,55.2335
2021-12-22 00:08:26,55.0571
2021-12-22 00:08:27,55.3545
2021-12-22 00:08:28,55.2066
2021-12-22 00:08:29,55.3385
2021-12-22 00:08:30,55.1194
2021-12-22 00:08:31,55.0323
2021-12-22 00:08:32,55.1365
2021-12-22 00:08:33,54.975
2021-12-22 00:08:34,55.0128
2021-12-22 00:08:35,54.804
2021-12-22 00:08:36,54.804
2021-12-22 00:08:37,54.8519
2021-12-22 00:08:38,55.0783
2021-12-22 00:08:39,55.0708
2021-12-22 00:08:40,54.813
2021-12-22 00:08:41,54.9195
2021-12-22 00:08:42,54.7477
2021-12-22 00:08:43,54.714
2021-12-22 00:08:44,54.7858
2021-12-22 00:08:45,54.8408
2021-12-22 00:08:46,54.6571
2021-12-22 00:08:47,54.7414
2021-12-22 00:08:48,54.6127
2021-12-22 00:08:49,54.8461
2021-12-22 00:08:50,54.6127
2021-12-22 00:08:51,54.5842
2021-12-22 00:08:52,54.8173
2021-12-22 00:08:53,54.6498
2021-12-22 00:08:54,54.5617
2021-12-22 00:08:55,54.485
2021-12-22 00:08:56,54.592
2021-12-22 00:08:57,54.6169
2021-12-22 00:08:58,54.453
2021-12-22 00:08:59,54.5178
2021-12-22 00:09:00,54.5109
2021-12-22 00:09:01,54.3002
2021-12-22 00:09:02,54.6157
2021-12-22 00:09:03,54.4544
2021-12-22 00:09:04,54.4074
2021-12-22 00:09:05,54.3556
2021-12-22 00:09:06,54.136
2021-12-22 00:09:07,54.361
2021-12-22 00:09:08,54.3449
2021-12-22 00:09:09,54.361
2021-12-22 00:09:10,54.535
2021-12-22 00:09:11,54.3476
2021-12-22 00:09:12,54.6133
2021-12-22 00:09:13,54.5305
2021-12-22 00:09:14,54.1691
2021-12-22 00:09:15,54.1808
2021-12-22 00:09:16,54.2004
2021-12-22 00:09:17,54.0937
2021-12-22 00:09:18,54.0757
2021-12-22 00:09:19,54.0757
2021-12-22 00:09:20,54.1045
2021-12-22 00:09:21,54.029
2021-12-22 00:09:22,54.3384
2021-12-22 00:09:23,54.1321
2021-12-22 00:09:24,54.1161
2021-12-22 00:09:25,54.1907
2021-12-22 00:09:26,53.9982
2021-12-22 00:09:27,54.1456
2021-12-22 00:09:28,54.0479
2021-12-22 00:09:29,54.2486
2021-12-22 00:09:30,54.1698
2021-12-22 00:09:31,54.1054
2021-12-22 00:09:32,54.0856
2021-12-22 00:09:33,54.0514
2021-12-22 00:09:34,53.9479
2021-12-22 00:09:35,53.7903
2021-12-22 00:09:36,54.0262
2021-12-22 00:09:37,54.0504
2021-12-22 00:09:38,53.9422
2021-12-22 00:09:39,53.8421
2021-12-22 00:09:40,54.0017
2021-12-22 00:09:41,53.8224
2021-12-22 00:09:42,53.8297
2021-12-22 00:09:43,53.873
2021-12-22 00:09:44,53.7268
2021-12-22 00:09:45,53.9209
2021-12-22 00:09:46,53.5869
2021-12-22 00:09:47,53.6712
2021-12-22 00:09:48,53.8607
2021-12-22 00:09:49,53.8395
2021-12-22 00:09:50,53.9353
2021-12-22 00:09:51,53.7458
2021-12-22 00:09:52,53.8142
2021-12-22 00:09:53,53.7084
2021-12-22 00:09:54,53.7917
2021-12-22 00:09:55,53.4254
2021-12-22 00:09:56,53.4254
2021-12-22 00:09:57,53.5278
2021-12-22 00:09:58,53.6204
2021-12-22 00:09:59,53.6071
2021-12-22 00:10:00,53.5869
2021-12-22 00:10:01,53.4772
2021-12-22 00:10:02,53.5407
2021-12-22 00:10:03,53.606
2021-12-22 00:10:04,53.5169
2021-12-22 00:10:05,53.457
2021-12-22 00:10:06,53.8122
2021-12-22 00:10:07,53.5162
2021-12-22 00:10:08,53.538
2021-12-22 00:10:09,53.5045
2021-12-22 00:10:10,53.3455
2021-12-22 00:10:11,53.6949
2021-12-22 00:10:12,53.625
2021-12-22 00:10:13,53.4617
2021-12-22 00:10:14,53.4535
2021-12-22 00:10:15,53.557
2021-12-22 00:10:16,53.245
2021-12-22 00:10:17,53.4909
2021-12-22 00:10:18,53.2677
2021-12-22 00:10:19,53.6041
2021-12-22 00:10:20,53.3142
2021-12-22 00:10:21,53.6984
2021-12-22 00:10:22,53.578
2021-12-22 00:10:23,53.4466
2021-12-22 00:10:24,53.2696
2021-12-22 00:10:25,53.3778
2021-12-22 00:10:26,53.5761
2021-12-22 00:10:27,53.6025
2021-12-22 00:10:28,53.3704
2021-12-22 00:10:29,53.4453
2021-12-22 00:10:30,53.4001
2021-12-22 00:10:31,53.1984
2021-12-22 00:10:32,53.3708
2021-12-22 00:10:33,53.3524
2021-12-22 00:10:34,53.4453
2021-12-22 00:10:35,53.3013
2021-12-22 00:10:36,53.0805
2021-12-22 00:10:37,53.3498
2021-12-22 00:10:38,53.247
2021-12-22 00:10:39,53.1896
2021-12-22 00:10:40,53.3791
2021-12-22 00:10:41,53.3791
2021-12-22 00:10:42,53.0654
2021-12-22 00:10:43,53.1931
2021-12-22 00:10:44,53.184
2021-12-22 00:10:45,53.1888
2021-12-22 00:10:46,53.2963
2021-12-22 00:10:47,53.2326
2021-12-22 00:10:48,53.3674
2021-12-22 00:10:49,53.3229
2021-12-22 00:10:50,53.2862
2021-12-22 00:10:51,53.1292
2021-12-22 00:10:52,53.134
2021-12-22 00:10:53,53.3893
2021-12-22 00:10:54,53.1676
2021-12-22 00:10:55,53.0751
2021-12-22 00:10:56,52.8732
2021-12-22 00:10:57,53.3311
2021-12-22 00:10:58,53.1931
2021-12-22 00:10:59,53.0626
2021-12-22 00:11:00,53.2198
2021-12-22 00:11:01,53.165
2021-12-22 00:11:02,53.334
2021-12-22 00:11:03,53.1689
2021-12-22 00:11:04,53.0235
2021-12-22 00:11:05,53.1086
2021-12-22 00:11:06,52.9224
2021-12-22 00:11:07,52.927
2021-12-22 00:11:08,53.0221
2021-12-22 00:11:09,53.1231
2021-12-22 00:11:10,53.3489
2021-12-22 00:11:11,53.016
2021-12-22 00:11:12,53.0475
2021-12-22 00:11:13,52.9802
2021-12-22 00:11:14,52.9499
2021-12-22 00:11:15,52.7119
2021-12-22 00:11:16,52.987
2021-12-22 00:11:17,52.8719
2021-12-22 00:11:18,52.8314
2021-12-22 00:11:19,52.9099
2021-12-22 00:11:20,53.1003
2021-12-22 00:11:21,52.7858
2021-12-22 00:11:22,52.7755
2021-12-22 00:11:23,52.7755
2021-12-22 00:11:24,52.8659
2021-12-22 00:11:25,52.8569
2021-12-22 00:11:26,52.8452
2021-12-22 00:11:27,52.9616
2021-12-22 00:11:28,52.7707
2021-12-22 00:11:29,52.8349
2021-12-22 00:11:30,52.7521
2021-12-22 00:11:31,52.8273
2021-12-22 00:11:32,53.033
2021-12-22 00:11:33,52.7601
2021-12-22 00:11:34,52.721
2021-12-22 00:11:35,52.7493
2021-12-22 00:11:36,52.9148
2021-12-22 00:11:37,52.8576
2021-12-22 00:11:38,52.9272
2021-12-22 00:11:39,52.7256
2021-12-22 00:11:40,52.8611
2021-12-22 00:11:41,52.859
2021-12-22 00:11:42,52.8023
2021-12-22 00:11:43,52.9004
2021-12-22 00:11:44,52.8756
2021-12-22 00:11:45,52.6634
2021-12-22 00:11:46,52.8356
2021-12-22 00:11:47,52.8637
2021-12-22 00:11:48,52.7222
2021-12-22 00:11:49,52.786
2021-12-22 00:11:50,52.7651
2021-12-22 00:11:51,52.653
2021-12-22 00:11:52,52.9704
2021-12-22 00:11:53,52.8072
2021-12-22 00:11:54,52.8451
2021-12-22 00:11:55,52.7526
2021-12-22 00:11:56,52.8485
2021-12-22 00:11:57,52.5721
2021-12-22 00:11:58,52.7713
2021-12-22 00:11:59,52.9484
2021-12-22 00:12:00,52.8353
2021-12-22 00:12:01,52.7679
2021-12-22 00:12:02,52.6155
2021-12-22 00:12:03,52.9152
2021-12-22 00:12:04,52.7407
2021-12-22 00:12:05,53.0466
2021-12-22 00:12:06,52.7462
2021-12-22 00:12:07,52.9407
2021-12-22 00:12:08,52.6384
2021-12-22 00:12:09,52.8834
2021-12-22 00:12:10,52.8767
2021-12-22 00:12:11,52.8367
2021-12-22 00:12:12,52.72
2021-12-22 00:12:13,52.8725
2021-12-22 00:12:14,52.9483
2021-12-22 00:12:15,52.8234
2021-12-22 00:12:16,53.0472
2021-12-22 00:12:17,52.9633
2021-12-22 00:12:18,52.9371
2021-12-22 00:12:19,53.1365
2021-12-22 00:12:20,52.8117
2021-12-22 00:12:21,53.0761
2021-12-22 00:12:22,52.8089
2021-12-22 00:12:23,52.9479
2021-12-22 00:12:24,53.0506
2021-12-22 00:12:25,53.0567
2021-12-22 00:12:26,53.0002
2021-12-22 00:12:27,52.9328
2021-12-22 00:12:28,53.3389
2021-12-22 00:12:29,52.9306
2021-12-22 00:12:30,53.2919
2021-12-22 00:12:31,53.1663
2021-12-22 00:12:32,53.1432
2021-12-22 00:12:33,52.8147
2021-12-22 00:12:34,53.25
2021-12-22 00:12:35,52.7986
2021-12-22 00:12:36,53.0084
2021-12-22 00:12:37,53.0579
2021-12-22 00:12:38,53.0586
2021-12-22 00:12:39,53.0634
2021-12-22 00:12:40,53.1705
2021-12-22 00:12:41,53.1238
2021-12-22 00:12:42,53.2014
2021-12-22 00:12:43,53.4066
2021-12-22 00:12:44,53.2081
2021-12-22 00:12:45,53.2629
2021-12-22 00:12:46,53.1944
2021-12-22 00:12:47,53.1024
2021-12-22 00:12:48,53.4235
2021-12-22 00:12:49,53.0963
2021-12-22 00:12:50,53.0936
2021-12-22 00:12:51,53.2662
2021-12-22 00:12:52,53.6163
2021-12-22 00:12:53,53.2369
2021-12-22 00:12:54,53.6035
2021-12-22 00:12:55,53.2012
2021-12-22 00:12:56,53.5564
2021-12-22 00:12:57,53.3216
2021-12-22 00:12:58,53.2923
2021-12-22 00:12:59,53.4425
